SNo,Project Name,Scheme Name,PI Details
78,Bulk production of Supramolecular Gelator for Demulsification of CRM Scum,"Tata Steel Limited, Jamshedpur","Prof. Swapan Dey, Chemistry and Chemical Biology"
79,Enhancing the operational efficiency of a hydraulic excavator machine by introducing a novel energy recuperative mechanism,DST,"Prof. Niranjan Kumar, Mining Machinery Engineering"
80,Impact of pesticide drops on a leaf: Minimizing of the use of pesticides from the study of the spread,DST,"Prof. Deepak Kumar Mandal, Mechanical Engineering"
81,Design and Development of Hardware for Controls using Ball Screw/Belt Type Linear Actuators,Janatics India Private Limited,"Prof. Arun Dayal Udai, Mechanical Engineering"
82,"A study on the formation and tectono-metamorphic evolution of Neoarchaean- Neoproterozoic granites and alkaline igneous complexes in the Salem block, southern India: Implications for lower crustal processes and the geodynamics of the Southern Granulite Terrane'",DST,"Prof. Joseph Rohan D'souza, Applied Geology"
83,Fluid-structure interactions in a power-law fluid,DST,"Prof. Subhankar Sen, Mechanical Engineering"
84,Novel formulations and green additives as a replacement for carcinogenic Methyl tertiary-butyl ether(MTBE) and aromatics in gasoline,DST,"Prof. Ejaz Ahmad, Chemical Engineering"
85,Design and Development of Artificial Intelligence Based Fiber optic Respiration Rate Measurement System for Psychophysiological Health Monitoring'',DST,"Prof. Amitesh Kumar, Electronics Engineering"
86,Analysis of Operator’s field of view of Normet Equipment: Visibility from cabin as per IS/ISO 5006:2017,Normet India Private Limited,"Prof. L A Kumaraswamidhas, Mining Machinery Engineering"
87,STUTI IIT(ISM) Dhanbad - 2021,DST,"Prof. Sagar Pal, Chemistry and Chemical Biology"
88,Effect of coal quality on the performance of jsl thermal power plant,Jindal Stainless Limited,"Prof. Barun Kumar Nandi, Fuel, Minerals and Metallurgical  Engineering"
89,"Assessment of losses and improvement of efficiency of jajpur thermal power plant, jsl",Jindal Stainless Limited,"Prof. Anand Anupam, Fuel, Minerals and Metallurgical  Engineering"
90,Improving the Economic Well-Being of Scheduled Tribe Communities (ST) Using Game Theoretic and Operations Research Techniques in Jamtara District of Jharkhand State,DST,"Prof. Rashmi Singh, Management Studies"
91,Design and Development of Compact and Low-profile Multiband Conformal Antenna System for In-vehicle Telecommunications Equipments Supporting Cellular/Communication Bands,DST,"Prof. Ravi Kumar Gangwar, Electronics Engineering"
92,Quantum Error Correcting Codes (CSS Construction) with symbol pair metric over Finite Fields,DST,"Prof. Abhay Kumar Singh, Mathematics and Computing"
93,Analytical Modelling of Multi-layered 2-D Transition metal dichalcogenide FET based Biosensor using Green’s function approach,DST,"Prof. Manodipan Sahoo, Electronics Engineering"
94,Mathematical study on the analysis of thermoelastic damping and frequency shift in thermoelastic micro/nano-scale beams with complexities,DST,"Prof. Abhishek Kumar Singh, Mathematics and Computing"
95,"Study on leaching effect of ash dyke and ash disposal areas at Jindal Power Limited, Tamnar, Raigarh, Chattisgarh",Jindal Power Limited,"Prof. Gurdeep Singh, Environmental Science & Engineering"
96,Fabrication of different grades of tool steel by twin wire arc additive manufacturing combined with in-situ alloying,DST,"Prof. Amitava Mandal, Mechanical Engineering"
97,Motivate School Students and Teachers Concerning the Relevance of Science and Technology through Innovative Communication Techniques,DST,"Prof. Rashmi Singh, Management Studies"
98,Development of Millimeter-Wave MIMO Cognitive Radio Systems using Metasurface and Substrate Integrated Waveguide for Future Wireless Communication,DST,"Prof. Raghvendra Kumar Chaudhary, Electronics Engineering"
99,Assessment of Properties of Coal Imported by Damodar Valley Corporation,"DVC, Maithon","Prof. Barun Kumar Nandi, Fuel, Minerals and Metallurgical  Engineering"
100,"Trace element systematics and sulfur isotope signature of auriferous sulfides within the Vempalle dolostone: Implications for refractory gold mineralization in and around Tummalapalle area of South-western Cuddapah basin, Andhra Pradesh",DST,"Prof. Sahendra Singh, Applied Geology"
101,Chemical depolymerization of polyethylene terephthalate (PET) by graphene oxide (GO) supported transition metal complexes,DST,"Prof. Chanchal Haldar, Chemistry and Chemical Biology"
102,Accessing the Techno-commercial Status of TRL 6 and above Technologies in the Field of Healthcare and Agriculture,DSIR,"Prof. Shashank Bansal, Management Studies"
103,Design and Development of Non-Invasive Optical Respiration Rate Measurement System for Psychophysiological Health Monitoring in MRI Environment,DBT,"Prof. Amitesh Kumar, Electronics Engineering"
104,"Integrated non-invasive geophysical, archeological and biogeochemical characterization of Itkhouri heritage sites in the Mohane River Valley",DST,"Prof. Sanjit Kr. Pal, Applied Geophysics"
105,Conservation of the metallic cultural heritage assets by waterborne superhydrophobic and  anti-dust coatings,DST,"Prof. Aditya Kumar, Chemical Engineering"
106,Development of Microstructure-Property-Processing Correlations for nickel based  superalloys,ISRO,"Prof. Rahul M R (Co-PI), Fuel, Minerals and Metallurgical  Engineering"
107,Design and analysis of code based public-key cryptosystem,DRDO,"Prof. Abhay Kumar Singh, Mathematics and Computing"
108,Development of Machine Learning and Blockchain-Based methods for Business Enhancement,Aeroqube Technologies Pvt. Ltd,"Prof. Rajendra Pamula, Computer Science and Engineering"
109,Studies in Nonlinear Dynamics of Mechanical Systems,Advanced Engineering Diagnostics  Solutions,"Prof. Aman Kumar, Mechanical Engineering"
110,Joint geopotential field modelling for finding the missing link between the Chotanagpur Granite Gneiss Complex (CGGC) and Shillong-Meghalaya Plateau,DST,"Prof. Gangumalla Srinivasa Rao, Applied Geophysics"
111,Auto-Evaluation of Tenders Using Artificial Intelligence / Machine Learning at Mahanadi  Coalfields Limited,MCL,"Prof. Siddhartha Agarwal, Mining Engineering"
112,Performance Assessment of Skew and Curved Railway Bridges of Diverse Structural  Configurations,S.R. Chaudhuri Consultancy  Services Pvt. Ltd.,"Prof. Piyali Sengupta, Civil"
113,A Study on consumers’ attitude and future prospects towards buying green clothing in India,Aarnav Fashions Limited,"Prof. Krishnendu Shaw, Management Studies"
114,Design and Investigation of High-Performance In0.52Al0.48As/In0.53Ga0.47As MOSFET  with optimized switching efficiency,DST,"Prof. Kaushik Mazumdar, Electronics Engineering"
115,Development of a Low-Cost Digital Instrumentation System for Angular Position  Measurement of a Rotating Shaft using Tunneling Magneto-Resistance Angle Sensor,IITI DRISHTI CPS,"Prof. Kishor Bhaskarrao Nandapurkar, Electrical Engineering"
116,Contract for intellectual services relative to support the itf work in india in the framework of the decarbonising transport in emerging economies (dtee) and the ndc transpot initiative for asia (ncd-tia,"Organisation for Economic Co-operation and Development, Paris France","Prof. Leeza Malik, Civil"
117,Deconstruction of lignocellulosic biomass for bioenergy,"DST, New Delhi","Prof. Madhulika Gupta, Chemistry and Chemical Biology"
118,Design and development of frequency stable and high Q-factor optoelectronic oscillator  assisted by microwave photonic techniques,DRDO,"Prof. Sanjeev Kr. Raghuwanshi, Electronics Engineering"
119,Performance Evaluation of Box & Box Girder-type Railway Bridges under Sustained and  Dynamic Loading,"Pioneer Surveyors, Kolkata","Prof. Piyali Sengupta, Civil"
120,Feasibility study of existing pipelines for hydrogen storage and transportation,"BinSys Technologies Private  Limited, New Delhi","Prof. Vinay Kumar Rajak, Petroleum Engineering"
121,Development of Numerical algorithm and CDM Model for Fatigue life estimation of Hydraulic cylinder under various loading conditions,ETPL (EKIN Techprudent Pvt. Ltd.),"Prof. K.P. Ajit, Mechanical Engineering"
122,"Testing and analysis of coal sample for OTPS, Obra",Obra Thermal Power Project,"Prof. Shalini Gautam, Fuel, Minerals and Metallurgical  Engineering"
123,Collaborative Work for Laboratory Study on Nano-Lubrication in Hot Rolling,"RDCIS, SAIL","Prof.Subrata Kumar Ghosh, Mechanical Engineering"
124,Bricks with grooves and projections in the masonry wall without using mortar,NECL,"Prof. S. C. Dutta, Civil Engineering"
125,The Study of Evidence of Deep Ecology in the Early Buddhist Text,ICHR,"Prof. Gyan Prakash, Humanities and Social Sciences"
126,"CBM resource estimation and feasibility study of field development using fully-integrated Geocellular model approach coupled with AI/ML algorithms in the Damodar River Valley, Godavari, Mahanadi, Satpura and Rajmahal Basin, India",DGH (Directorate General of Hydrocarbons),"Prof Rajeev Upadhyay, Petroleum Engg"
127,"Development of Integrated Geocellular model for CBM resource estimation with the support of Machine Learning based sub-surface image resolution enhancement and implementation of Joint-Inversion algorithm from newly acquired geoscientific data in the South Rewa Basin, Wardha valley (Wardha-Godavari basin), Kamptee sub-basin, Cambay-Kutch- Saurashtra basin and Rajasthan basin India",DGH (Directorate General of Hydrocarbons),"Prof. Saurabh Datta Gupta, Applied Geophysics"
128,Coastal Risk Analysis (CORAL): An India’s perspective,DST,"Prof. Vittal H, Environmental Science & Engineering"
129,Dump bearing strength analysis,"Tata Steel Limited, Jamshedpur","Prof. Vishwas N. Khatri, Civil Engineering"
130,Abiotic synthesis of methane at the recess of Martian crust and prospect of microbial life in  the Noachian Mars - Constraints from experimental and meteorite studies,ISRO,"Prof. Alik Sundar Majumdar, Applied Geology"
131,"Lithotype control over gas storage, gas permeability and geomechanical attributes of coal seams: Implications for Coalbed Methane production and carbon dioxide sequestration in  India",DST,"Prof. Ashutosh Tripathy, Applied Geology"
132,"Design, development and establishment of vibration assisted wire electrical discharge  turning for aerospace materials to achieve better surface integrity",DRDO,"Prof. Alok Kr. Das, Mechanical Enginering"
133,"Design, synthesis and biological evaluation of Monopolar spindle 1 inhibitors as potential  therapeutics for triple negative breast cancer''",DST,"Prof. Naga Rajiv Lakkaniga, CCB (Chemistry and Chemical Biology)"
134,Geometric Facility Optimization problems in Imprecise domain,DST,"Prof. Ankush Acharyya, Mathematics and Computing"
135,Catalytic/Non-catalytic Co-Hydrothermal Liquefaction of Integrated Plastic Wastes with  Food Waste/Agricultural Residue to Produce Renewable Transportation Fuel,DST,Prof. Madhumita PatelEnvironmental Science & Engineering
136,Machine learning-enabled framework for the design of new multicomponent alloys,DST,"Prof. Rahul M R, Fuel, Minerals and Metallurgical  Engineering"
137,Optimization of High-Speed Railway viaduct design,National High Speed Rail  Corporation Limited,"Prof. Piyali Sengupta, Civil Engineering"
138,Performance Study of Steel Oil Storage Tanks under Seismic Loading'',"MoES, New Delhi","Prof. Tanish Dey, Civil Engineering"
139,Investigation of slow flows of non-spherical granular materials,DST,"Prof. Sandip Mandal, Chemical Engineering"
140,Role of Free Stream Excitation on the Separation-Induced Transition in Low Pressure  Turbines Using an Accuracy-Preserving Parallel Algorithm,DST,"Prof. Aditi Sengupta, Mechanical Engineering"
141,Experimental and numerical investigation of non-isothermal droplet dynamics in viscoelastic fluids,"DST, New Delhi","Prof. Antarip Poddar, Mechanical Engineering"
142,Characterization and beneficiation studies on auriferous quartzite ore for producing  concentrate for recovery of gold,MMIPL (Manmohan Mineral  Industries Pvt. Ltd.),"Prof. Pankaj Kumar Jain, Fuel, Minerals and Metallurgical  Engineering"
143,Performance Improvement of Darrieus Hydrokinetic Turbine using different J-shape blades and Vortex Generator,"DST, New Delhi","Mentor: Prof. Shibayan Sarkar, Mechanical Engineering"
144,Explainable Deep Learning for Optimal Design and Robust Control of Coal Flotation Columns - Towards an Intelligent & Reliable Clean Coal Initiative,"DST, New Delhi","Prof. Priyanka Devi Pantula, Chemical Engineering"
145,Strategic Intervention for Developing Sustainable Entrepreneurial Ecosystem in Jharkhand,MPL (Maithon Power Limited),"Prof. Shashank Bansal, Management Studies"
146,Advanced Greedy Algorithms for Sparsity-Aided Generalized Online Caching,"DST, New Delhi","Prof. Samrat Mukhopadhyay, Electronics Engineering"
147,Modular Synthesis of Fluorinated Azole Pharmaceuticals using Chan-Lam Coupling Variants,"DST, New Delhi","Prof. Parthasarathi Das, Chemistry and Chemical Biology"
148,Feasibility study of m-sand from coal ob,"Tata Steel Limited, Jamshedpur","Prof. S.K. Das, Civil Engineering"
149,Utility Driven Approach to Learn Credible Interpretations of Machine Learning Models,"DST, New Delhi","Prof. Koustav Rudra, Computer Science and Engineering"
150,Environmentally benign MnO 2 -nanoflower based biopolymer-nanocomposite for packaging and moisture/gas barrier properties,"DST, New Delhi","Mentor: Prof. Ejaz Ahmad, Chemical Engineering"
151,Rare earth elements identification and its recovery in Indian coals and coal by-products,"DST, New Delhi","Mentor: Prof. Aarti Kumari, Fuel, Minerals and Metallurgical  Engineering"
152,Sampling and analysis of 58000 MT of reject from heap no. 4 B(R) Ext. New of Dahibari Coal Washery,BCCL,"Prof. Shravan Kumar, Fuel, Minerals and Metallurgical  Engineering"
153,Methane Production from Gas Hydrates Using Slow Depressurization and Carbon Dioxide  Injection,"DST, New Delhi","Prof. Pawan Gupta, Petroleum Engg"
154,Design of a webserver-based hybrid physiological sensor with optical cloth for real-time health specialist care,"DST, New Delhi","Prof. S.K. Raghuwanshi, Electronics Engineering"
155,Study of Strongly Coupled Non-Ideal Plasma States of Carbon at Extreme Conditions,"DST, New Delhi","Prof. Amitava Adak, Physics"
156,Investigations of strongly correlated topological phases in heavy fermion and rare-earth materials,"DST, New Delhi","Prof. Sudeshna Sen, Physics"
157,Capacity building for human resource development in Unmanned Aircraft System (Drone and related Technology),"MeitY, New Delhi","Prof. R.K. Gangwar, Electronics Engineering"
158,Smart Radio Environments: Implementation and deployment for targeted use-cases,IIITB COMET,"Prof. Samrat Mukhopadhyay, Electronics Engineering"
159,Sustainable digital interventions for resource poor farmers,"J-PAL (The Abdul Latif Jamil Poverty Action Lab), Cambridge,  USA","Prof. Aparna Krishna, Management Studies"
160,Design Rationalization of Bridge in Concurrence with National Standards,"Rotrans Infra Projects Private  Limited, Bhubaneswar","Prof. Sanket Nayak, Civil Engineering"
161,Generation of high chirp rate dual chirp microwave waveform in Ku band using novel  microwave photonic techniques for high performance radar application,"DST, New Delhi","Prof. S.K. Raghuwanshi, Electronics Engineering"
162,Experimental investigations for the flow of viscoelastic and shear-thinning fluids through  rigid and deformable tubes and channels,"DST, New Delhi","Prof. Bidhan Chandra, Chemical Engineering"
163,Inference on parameters of discriminant functions and model-based classification for  multivariate distributions,"DST, New Delhi","Prof. Nabakumar Jana, Mathematics and Computing"
164,Monitoring the aggregation kinetics of amyloid-beta and its inhibition,"DST, New Delhi","Mentor: Prof. Umakanta Tripathy, Physics"
165,Wave scattering by new-type floating barriers in deep water,"DST, New Delhi","Prof. Ramanababu Kaligatla, Mathematics and Computing"
166,Photocatalytic Sp3 C-N Bond Formation Extended by MHAT Catalysis,"DST, New Delhi","Mentor : Prof. Soumitra Maity(Assoc),Chemistry and Chemical Biology"
167,"Monitoring of Air Quality in Non-Monsoon Period at Identified Locations of Kendra Area  (ECL), both Ambient and the process area to arrive at the impact of proposed changes in the cluster No. 11",ECL,Prof. Suresh Pandian E Environmental Science & Engineering
168,Development of spectrally efficient low complexity fast sparse channel estimation algorithms for orthogonal time frequency space (OTFS) modulation scheme,"DST, New Delhi","Prof. Himanshu Bhusan Mishra, Electronics Engineering"
169,Multi-Window Cross-Correlation of Ambient Noise: A Novel Approach for Machine Learning Tools in Seismic Hazard Analysis,"DST, New Delhi","Prof. Mohit Agrawal, Applied Geophysics"
170,Topological characterisation and entanglement content of the Mott metal-insulator transition,"DST, New Delhi","Prof. Sudeshna Sen, Physics"
171,Single Crystal Growth and Study of Frustrated Magnetism in Triangular Lattice Cuprates  Ba3Cu(Nb/Ta)209,"DST, New Delhi","Prof. Tusharkanti Dey, Physics"
172,Development of Estimation Strategies for the Parameters of Stigmatized Characteristics  Using Randomized Response Models,"DST, New Delhi","Prof. G.N. Singh, Mathematics and Computing"
173,Multi-Carrier Waveforms for Intelligent Reflecting Surface (IRS) assisted Next-Generation Wireless Communication Systems,"DST, New Delhi","Prof. Himanshu Bhusan Mishra, Electronics Engineering"
174,Development of dynamic geospatial framework and land suitability database for best alternative livelihood options in Indian Sundarban region,"DST, New Delhi","Prof. S.R. Samadder, Environmental Science & Engineering"
175,Evaluation and Synthesis of Green Hydrate Inhibitors with Enhanced Hydrate Inhibition and Biodegradability,"DST, New Delhi","Prof. Ajay Suri, Petroleum Engineering"
