SNo,Project Name,Scheme Name,PI Details
25,DBT Pan IIT Center for Bioenergy: Central Facility and Center Management Cost,DBT Pan IIT Center For Bioenergy,Pramod Prabhakar Wangikar
26,"Metal Mediated Synthesis of Nitroaromatics, itroolefins and Nitroalkanes",ARMREB -Grant-in-aid,Debabrata Maiti
27,Finite Element Methods for Parameter Identification Problems in Elliptic Partial Differential Equations,FSER (Fund for Sceince & Engineeri ng Research) (PAC – Mathematical Sciences),Neela Nataraj
28,Intelligent Microgrids with Appropriate Storage for Energy (IMASE),Indo-UK Partnersh ip in Smart Energy Grids and Energy Storage Technolo gies (SEGES),Prakash Chandra Ghosh
29,Rockfall Hazard Study in High Hills of Maharashtra and Its Remedial Measure,TDT (Technology Development &Transfer) -NRDMS,Trilok Nath Singh
30,"Virtual Labs, Phase -II: Outreach integration and maintenance of Virtual Labs",NMEICT (National Mission On Education through ICT),Santosh Bonaventure Noronha
31,C-USE Establishment of Centre of Excellence for Training and Research in Frontier areas of Science and Technology (FAST),FAST (Frontier Areas of Science and Tecnology),"Head, Centre for Urban Science & Engineering (C-USE)"
32,Wadhwani Research Center in Bioengineering (WRCB),-,Debjani Paul
33,Thermo-Mechanical Behaviour of Bond and Top Coats at Various Length Scales and under High Temperatures (GTMAP),GTMAP - Grant-in-Ai d,Krishna Nagasai Jonnalagadda
34,An Integrated Computational and Experimental Approach to Discovering and Analyzing Regulatory Networks,Grant-in- Aid,S. Akshay
35,Development of 3D Silicon Solid State Neutron Detectors,-,Rajiv Onkar Dusane
36,Search for Flow Equations in the Transition Regime with Application to Gas Centrifuge,-,Amit Agrawal
37,Special Manpower Development Programme for Chips to System Design (SMDP-C2SD),-,Shalabh Gupta
38,National Centre of Excellence Technologies for Internal Security (NCETIS),COE-NCETIS,P. Baylon Godfrey Fernandes
39,Deciphering the role of noise in Mammalian cell cycle regulation under the influence of signaling pathways,EMR (Extra Mural research ) (Physical chemistry),Sandip Kar
40,Modelling High-valent Metal-oxo/imido Species Mediated Catalytic Transformations: DFT and ab initio Exploration,EMR (Extra Mural Research )(Inorganic Chemistry ),Gopalan Rajaraman
41,Bioinspired Catalysis: C-H Halogenations and Oxidations by Active Metal Species,EMR (Extra Mural Research ) (Inorganic Chemistr y),Debabrata Maiti
42,High Efficiency (>15%) Perovskite Solar Cells,SERI (Solar Energy Research Initiative),Shaibal Kanti Krishna Chaitanya Sarkar
43,Development of Large area Inductively Coupled Plasma Source and Diagnostics of the Generated Plasma,EMR (Extra Mural Research) (Plasma High Energy Nuclear Physics Astronomy & Astrophys ics and Nonlinear Dynamics),Rajiv Onkar Dusane
44,Application of (2+2+2) cycloaddition reaction in organic synthesis,EMR (Extra Mural Research)(Organic Chemistr y),Sambasivarao Kotha
45,High Speed dynamic Micro/Nano scale precision positioning: Application to nano Metrology Micro Machining and Atomic Force,Fast Track Young Scientist –Enginering Science Scheme,V. Kartik
46,National Level Consortium of PhD Students,-,Sapar Narayan Rao
47,Visvesvaraya PhD Scheme for Electronics and IT,Visvesv araya PhD Scheme for Electronics and IT,"Head, Computer Science & Engineering"
48,National Carbonaceous Aerosol Programme (NCAP): Carbonaceous Aerosol Emissions Source Apportionment and Climate Effects,NCAP (National Carbona ceous Aerosols Programme),Chandra Venkataraman
49,Modeling of Reactive Transport in Groundwater Using Meshfree Based Numerical Models,-,Eldho Thekkilakkattu Iype
50,Development of Seismic Design Methodology for Combined Pile-Raft Foundations of NPP Structures nteractions with Site-Specific Response Analysis,-,Deepankar Choudhury
51,High Resolution Mass Spectrometry based Proteomics Research and Training Facillity,Biotechnology Research And Development,Sanjeeva Srivastava
52,"An Investigation on the Optical, Electrical and Spectral Characteristics of Strain-Coupled In(Ga)As/GaAs-based Nano-Scale Quantum Dot Heterostuctures",Nano Mission,Subhananda Chakrabarti
53,Development of Energy Saving and Energy Generating Smart Windows,Technology Developm ent Programme,Aswani Yella
54,India-UK Centre for Education and Research in Clearn Energy (IUCERCE),India – UK IUCERCE (UK Center for education and research in clean energy),Prakash Chandra Ghosh
55,Design fabrication and damage tolerance study of stretchable organic potovoltaic devices (OPV),Technolog y Developm ent P rogramme,Aparna Singh
56,Meso-scale subsurface mixing dynamics in the Indian Ocean region using Modular Ocean Model (MOM),CCP (Climate Change Program me - SPLICE),Manasa Ranjan Behera
57,Characterization & Modelling of Physical Properties of Different Forms of Snow & Ice Using Field and Remote Sensing Observations,BDID (Big Data Initiatives Division); NISA (National Project on Imaging spectros copy and App lications); Snow and Glacier,RAAJ Ramsankaran
58,The Ramanujan Fellowship award to Dr Gopal Dixit,Ramanujan Fellowship,Gopal Dixit
59,Interdisciplinary Program in Industrial Engineering & Operations Research (IE&OR),INSPIRE Faculty Award,Manjesh Kumar Hanawal
60,A device for detecting circulating tumor cells in blood using a microfluidic chip and a fibre optic sensor,IMPRINT-1-M-1,Soumyo Mukherji
61,Christians caste and citizenship: Engagements and contestation in civil society,Research Project,Rowena Robinson
62,Central Sector Scheme for MOOC-compliant e-content NPTEL Phase IV,NMEICT (National Mission on Education through ICT),Sridhar Rajamani Iyer
63,National Centre for Photovoltaic Research and Education (NCPRE) Phase- II,NCPRE Phase II,P. Baylon Godfrey Fernandes
64,Design and Development of a Single Cylinder Free Piston Stirling Engine (FPSE) for net 3 kWe Electrical Output Using Solar Energy and also other renewable energy as Input,-,Shireesh B Kedare
65,Million SoUL Program- Phase II - 5 Lakh Lamps (2016-2018) by IIT Bombay,Million Solar Urja Lamp,Chetan Singh Solanki
66,Design of an Expert System for Flood Forecasting and Management for the City of Chennai,Grant-in-Aid,Subimal Ghosh
67,UNICEF - CTARA Fellowships on Child Nutrition,UNICEF Fellowship,Satish B Agnihotri
68,Finite Element Modelling of Ring Rolling Process for Aerospace Alloys (GTMAP),GTMAP - Grant-in-Aid,Krishnaiyengar Narasimhan
69,Portable Biosensing Platform Based on Conducting Polymer Decorated Optical Fiber for Bacteria as well as Heavy Metal Sensing in Tap Water.,BIRAC SRISTI GYTI Award (Gandhian Young Technological Innovation Award),Soumyo Mukherji
70,Proteolytic and non-proteolytic regulation of breast cancer invasion by MMP2 and MMP9,-,Shamik Rabindranath Sen
71,Probing 2-oxoglutarate cooperativity in Aspergillus niger NADP-glutamate dehydrogenase,-,Narayan Sudhindra Punekar
72,Application of ring-rearrangement metathesis in organic synthesis,EMR-II (Extra Mural Research II),Sambasivarao Kotha
73,Infrastructure Facility for Advanced Research and Education in diagnostics,"Biotechnology Research and Development, Human Resource Development, Research Resources and Facilities",Pramod Prabhakar Wangikar
74,Design of Biosensors for Monitoring Xenobiotic Pollutants in River Water,"Biotechnology Research and Development, Human Resource Development, Research Resources and Facilities",Ruchi Anand
75,Biophysical Insigts into Molecular Basis Underlying the Membrane Related Biological Actions of Mycobacterial Biosurfactants,Ramalingaswami fellowship,Shobhna Kapoor
76,Multifunctional Polymeric Nanoformulation for Targeting Hepatocellular Carcinoma Cells and Cancer Stem-like Cells,"Biotechnology Research and Development, Human Resource Development, Research Resources and Facilities",Dulal Panda
77,Design and Development of RFIC Technology for NAVIC and GPS,Microelectronics Development Division,Rajesh Harishchandra Zele
78,Evaluation of high strain rate behaviour of materials processed for SCWH liner applications,CARS (Contract for Acquisition of Research Services),Prasad Jagannadha Nageswara Vara Manepalli
79,Microstructure characterization of materials processed for high strain rate applications,CARS (Contract for Acquisition of Research Services),Indradev Samajdar
80,"Multifunctional in situ gelling, self-administered paint-on wound dressing for in field trauma care",IMPRINT-1-M-2,Sanjeeva Srivastava
81,Internally Functionalized Nanotubes from Peptide Templates for Biomimetic Ion Transport and Encapsulation,Nano Mission,Nandita Madhavan
82,"PATHWAYS and evolution of pollutants: Interactions between physical controlling effects, microbial community composition and pollutant biodegradation rates","ITDD (Innovation, Technology Development and Deployment) - Indo-UK",Kapil Gupta
83,Functional and structural studies on the first virus coded primase-polymerase enzyme with terminal transferase activity,"CRG (Core Research Grant) (PAC Biophysics, Biochemistry, Molecular Biology & Microbiology)",Kiran Rajanna Kondabagilu
84,Nanoelectronics Network for Research and Application (NNetRA),Nano Mission - NNETRA,Swaroop Ganguly
85,DST - Centre of Excellence in Climate Studies IIT Bombay,CCP (Climate Change Programme - SPLICE); COE,Subhankar Karmakar
86,Ramanujan Fellowship,Ramanujan Fellowship,Soumya Bera
87,Structure-function correlation in soft nanomaterials,Ramanujan Fellowship,Sunita Premshankarlal Srivastava
88,INSPIRE Faculty Award,INSPIRE Faculty Award,Kasturi Saha
89,Anti-reflective and dust mitigation coatings on dye sensitized solar cells (DSSCs),WOS-A (Women Scientist Scheme A),Parag Kishore Bhargava
90,Educational Services for Outreach at Scale (ESOS),-,Bhaskaran Raman
91,"Development of Smartphone Integrated Generic Microfluidic Devices for Rapid, Portable, and Affordable Point-of-Care Diagnostics",IMPRINT-1-A-1,Amit Agrawal
92,Designing damage tolerant functional oxide nanostructures,-,Nagamani Jaya Balila
93,A platform for Crosslingual and Multilingual Event Monitoring in Indian Languages,IMPRINT-1-A-1,Ganesh Seshan Ramakrishnan
94,Assimilation of Open Source Software in Science and Engineering,NMEICT (National Mission on Education through ICT),Kannan Mani Moudgalya
95,Open Design School,NIDI (National Initiative for Design Innovation),Battula Kalyana Chakravarthy
96,Swachhta Action Plan (SAP): Manual and Automatically readable Ultrasonic water meters - product design and field testing,SAP (Swachhta Action Plan),Paluri Satya Vydeeswara Nataraj
97,Impact of Climate Change on Water Resources in River Basins from Tadri to Kanyakumari,INCCC,Eldho Thekkilakkattu Iype
98,NEXT Education Research Lab,-,Convener Educational Technology
99,Performance Reliability and Degradation Evaluation for a MW Scale Solar PV Plant with IITB,-,Anil Gopalan Kottantharayil
100,Study of fundamental heat transfer characteristics in the presence of non-condensable for designing long term passive heat removal system for Containment,CSRP (Committee for Safety Research Programmes),Arunkumar Sridharan
101,Development of Band pass filters at different frequencies,-,"Head, Electrical Engineering"
102,Development of Diamond Detectors for High Temperature Operation,-,Kantimay Siba Pada Das Gupta Das Gupta
103,"Structural Studies of mylonites in the granites and shear folds in the shear zones of limestone around Ukinal, Kanchankayi and Gogi areas and correlation with Uranium Mineralization along Gogi-Kurlagere fault of Bhima Basin, in Karnataka",-,Tapas Kumar Biswal
104,"Design, Development and Experimental Investigation of Axial Superconducting Magnetic Bearing (SMB)",-,Himanshu J. Bahirat
105,Sodium-ion battery development based on polymer and polyanion-based cathode and hard carbon anode,-,Sagar Mitra
106,Transforming India's Green Revolution by Research and Empowerment for Sustainable Food Supplies,UK,Krishnan Narayanan
107,Indigenous Development of Early Warning Radar System for predicting failures/slope instabilities in Open Cast Mines,-,Yalamanchili Rao
108,Elucidating the molecular targets of RSC-mediated chromatin remodeling in Candida albicans,EMR-II (Extra Mural Research II),Santanu Kumar Ghosh
109,Rational design to stabilize Ising or axial single-ion magnetic anisotropy of Co(II) complexes,EMR-II (Extra Mural Research II),Maheswaran Shanmugam
110,Role of structural plasticity and intrinsic dynamics of Cse4 in regulation of specialized nucleosome,"Biotechnology Research and Development, Human Resource Development, Research Resources and Facilities",Ashutosh Kumar
111,Development of novel and efficent carbohydrate enzymes for bioenergy and biovalued products,NER-BPMC (North Eastern Region Biotechnology Programme Management Cell),Prasenjit Ranjith Kumar Bhaumik
112,Statistical thermodynamics of Chromatin Organization,National Bioscience Award for Career Development,Ranjith Padinhateeri
113,Engineered Bioremdiation Approaches for Onsite Treatment of Soil Contaminated with Crude Oil,Biotechnology Research and Development,Prashant Sitakant Phale
114,Valorising Waste from Sugar Cane Industries via Innovations in Pretreatment Bioproduction and Process Intensification,Indo-UK Collaboration,Amit Yashpal Arora
115,BodhiTree: A Platform for Improving Learning Outcomes using Online Interactive Courses and Assessed Labs,-,Kameswari Chebrolu
116,Defining Developments in Microstructure and Residual Stresses in Bulb Bar Manufacturing: A Combined Physical and Numerical Simulation Approach,EMR (Extra Mural Research),Shyamprasad Karagadde
117,Snowpack Surface/Near-surface Characterizations,CARS (Contract for Acquisition of Research Services),Gulab Singh
118,Path Planning and Patrolling for a team of Car-like Robots in a Campus Environment,CARS (Contract for Acquisition of Research Services),Arpita Sinha
119,FPGA Based High Power Computing Hardware for 3D Occupancy Map,CARS (Contract for Acquisition of Research Services),Sachin Balkrishna Patkar
120,Prediction of Residual Stress in the Weldments Using Finite Element Modelling,CARS (Contract for Acquisition of Research Services),Asim Tewari
121,Spin Hall effect in 2D materials,CRG (Core Research Grant) (PAC Electrical Electronics & Computer Engineering),Ashwin Awadhootshastri Tulapurkar
122,Development and heat transfer analysis of material for encapsulated phase change material for medium and high temperature solar applications,"ITDD (Innovation, Technology Development and Deployment)",Sandip Kumar Saha
123,Mopping oil with graphene based composite sponge,CRG (Core Research Grant) (PAC Earth & Atmospheric Sciences),Shobha Shukla
124,AlGaN/GaN Power Transistor Based Platform Technology and Modules for Smart Grid Applications,"ITDD (Innovation, Technology Development and Deployment)",P. Baylon Godfrey Fernandes
125,Integrated device simulation platform for magnetic random access memories,CRG (Core Research Grant) (PAC Electrical Electronics & Computer Engineering),Bhaskaran Muralidharan
126,Acoustic Sensing via Nitrogen-Vacancy Centers in Diamond,CRG (Core Research Grant) (PAC Electrical Electronics & Computer Engineering),Kasturi Saha
127,A Detailed Investigation on the Structural and Opto-Electrical Characteristics of Coupled Stranski-Krastanov (S-K) - Sub Mono Layer (SML) In(Ga)As/GaAs Quantum Dot Heterostructures and Devices,CRG (Core Research Grant) (PAC Electrical Electronics & Computer Engineering),Subhananda Chakrabarti
128,Deciphering the structural basis of pore formation by pneumolysin (Ply) from a highly pathogenic serotype-1 Streptococcus pneumoniae,"CRG (Core Research Grant) (PAC Biophysics, Biochemistry, Molecular Biology & Microbiology)",Prasenjit Ranjith Kumar Bhaumik
129,Micromechanics based Fatigue life Prediction Model for Unidirectional Composites under Compression-Torsion fatigue loading,CRG (Core Research Grant) (PAC Civil and Mechanical Engineering),Chandra Sekher Yerramalli
130,Tracing the Career Trajectory of IIT women alumni,NSTMIS (National Science and Technology Management Information System),Pooja Purang
131,Clean Coal Utilization of Indian coals : Carbon capture and pollution control,"ITDD (Innovation, Technology Development and Deployment)",Virendra Sethi
132,High speed carrier and photon dynamics in GaN nano-structure LEDs and lasers and resulting effect in high frequency performance,CRG (Core Research Grant) (PAC Electrical Electronics & Computer Engineering),Dipankar Saha
133,Interrogating membrane organization and dynamics of mycobacterial lipids: A high-pressure biophysical approach,CRG (Core Research Grant) (PAC Inorganic Physical Chemistry),Shobhna Kapoor
134,A Theoretical Investigation of the Catch Bond in Dynein: Implications for Intracellular Processes,CRG (Core Research Grant) (PAC Physical Sciences),Mithun Kumar Mitra
135,Understanding the delivery of nanoparticles to liposomes using electroporation,CRG (Core Research Grant) (PAC Chemical and Environmental Engineering),Rochish Madhukar Rao Thaokar
136,"Probing confinement-induced phenotypic heterogeneity in breast cancer, and its implications in cancer metastasis","CRG (Core Research Grant) (PAC Biophysics, Biochemistry, Molecular Biology & Microbiology)",Shamik Rabindranath Sen
137,Sustainable Energy Storage suitable for Microgrid (SENSUM),"ITDD (Innovation, Technology Development and Deployment)",Prakash Chandra Ghosh
138,IoT using Android apps for autonomous small size robots,"ITDD (Innovation, Technology Development and Deployment)",Leena Vachhani
139,Near field engineering of Dark Dirac Excitons,Nano Mission,Anshuman Kumar
140,Development of continuum based solvation models for excited state coupled cluster methods,CRG (Core Research Grant) (PAC Inorganic Physical Chemistry),Achintya Kumar Dutta
141,Investigating Photoinduced Blinking Dynanamics and Spectral-diffusion in Single Semiconductor Quantum-Dots and Perovskite nanocrystals,CRG (Core Research Grant) (PAC Inorganic Physical Chemistry),Arindam Chowdhury
142,Developmentof photonic sensors platform using 2D/3D Covalent Organic Framework (COF),Nano Mission,Tapanendu Kundu
143,Beyond the 'Gold-Standard' of Quantum Chemistry: Coupled Cluster Approach from Molecules to Condensed Phase,CRG (Core Research Grant) (PAC Inorganic Physical Chemistry),Rahul Maitra
144,Development of pincer and porphyrin complexes for remote C-H functionalization of heterocycles; insights into the mechanism,CRG (Core Research Grant) (PAC Inorganic Physical Chemistry),Debabrata Maiti
145,"Differential Flatness based Design, Trajectory Planning and Control of Bipedal Walking Robots",Early Career Research Award (EC Engineering Sciences),Vivek Sangwan
146,Precise and Scalable Pointer Analysis,CRG (Core Research Grant) (PAC Electrical Electronics & Computer Engineering),Uday Prabhakar Khedker
147,Himalayan snow and glacier studies using Microwave remote sensing - A special emphasis on mass of seasonal snow and Eastern Himalaya,CCP (Climate Change Programme - SPLICE),Gulab Singh
148,Towards Novel Single Molecular Toroics Based on Lanthanide and {3d-4f} Assembly,CRG (Core Research Grant) (PAC Inorganic Physical Chemistry),Gopalan Rajaraman
149,"Water Innovation Centre: Technology, Research & Education (WICTRE)","ITDD (Innovation, Technology Development and Deployment) - WTI (Water Technology Initiative)",Shobha Shukla
150,Digital reconstruction of ancient Indian engineering via machine learning,IHDS (Indian Heritage in Digital Space) of ICPS,Bharath Chandra Shekar
151,DST-IIT Bombay Energy Storage Platform on Hydrogen,"ITDD (Innovation, Technology Development and Deployment) - TMD (Technology Mission Division) - CEMI",Pratibha Sharma
152,Recreating digital heritage in Augmented Reality,IHDS (Indian Heritage in Digital Space) of ICPS,Parag Kumar Chaudhuri
153,Haptic Rendering of underwater digital heritage,IHDS (Indian Heritage in Digital Space) of ICPS,Subhasis Chaudhuri
154,Studying the physics of interfacial excitons in n-ZnO/p-GaN heterojunctions enroute to exploring the prospect of these heterojunctions for ultraviolet(UV) light emitters and detectors,CRG (Core Research Grant) (PAC Condensed Matter Physics and Material Sciences),Subhabrata Ajit Kumar Dhar
155,Non-adiabatic & quantum nuclear effects near metal surfaces,Early Career Research Award (EC Chemical Sciences),Amber Jain
156,Quantum Synchronization: Theory and Applications,Early Career Research Award (EC Physical & Mathematical Sciences),Sai Vinjanampathy
157,Biophysical alterations of glycocalyx: Implications for survival invasion and drug resistance in breast cancer,SwarnaJayanti Fellowship,Shamik Rabindranath Sen
158,High Speed 2D Electronic and Optoelectronic Devices,SwarnaJayanti Fellowship,Saurabh Vijaykumar Lodha
159,Electronic Structures of Redox-active Metal Complex Frameworks and their Applications in Cooperative Functionalization and Catalysis,J C Bose Fellowship,Goutam Kumar Anil Nath Lahiri
160,Development of catalytic membranes based on carbon Nanomaterials for Effective Operation of membrane based water treatment units,INSPIRE Faculty Award,Swatantra Pratap Singh
161,Two dimensional materials for quantum photonics,Ramanujan Fellowship,Anshuman Kumar
162,Multivariable operator theory,MATRICS - PAC Mathematical Science,Santanu Mukti Dey
163,"Hybrid Manufacturing of Aerospace Parts: Software Modeling, Simulation, Verfication and Development",International Multilateral Regional Coooperation - BRICS,Karunakara Poopathi Kapuppasamy Poolan
164,Optimisation of innovative MEMS-NEMS in Precision Agricultural Applications,International Cooperation - Italy,Maryam Shojaei Baghini
165,Flux-Assisted Inclusion Engineering: Applications in Low-carbon Low-alloy Shipbuilding Plates,International Multilateral Regional Coooperation - BRICS,Somnath Amar Nath Basu
166,Designing and fabrication of indigenous anti-hail guns and evaluation of their effectiveness to combat hailstorms for sustainable apple production in Himachal Pradesh.,IMPRINT-2-M-1 (Impacting Research Innovation and Technology) (PAC Environmental Science & Climate Change),Sudarshan Kumar
167,A Chip-Scale Device for 3D Face Recognition in Security and Defence,IMPRINT-2-M-1 (Impacting Research Innovation and Technology) (PAC Security & Defense),Rajesh Harishchandra Zele
168,Enabling continuous flow method for the Synthesis of Nitrogen-Rich compounds,IMPRINT-2-M-1 (Impacting Research Innovation and Technology) (PAC Security & Defense),Debabrata Maiti
169,Development of Indigenous corrosion monitoring systems for Reinforced concrete(RC) Structures using Eddy current and Ultrasonics,IMPRINT-2-M-2 (Impacting Research Innovation and Technology) (PAC Nano Technology Hardware),Siddharth Tallur
170,Simulation of Core Level Spectroscopy,INSPIRE Faculty Award,Achintya Kumar Dutta
171,Development of weakly singular integral formulations for mixed boundary value problems in linear elasticity,MATRICS - PAC Mathematical Science,Salil Shreekant Kulkarni
172,Pilot production of hemodialyzer hollow fibers leading to animal trials: A follow-up to our nanocomposite hollow fiber membrane projects to DST/HUB,NHHID (National Hub for Healthcare Instrumentation Development),Jayesh Ramesh Bellare
173,Studies on catalytic applications of solid supported catalysts of palladium and nickel over marble slurry for the C-C coupling reactions,TARE (Teachers Associateship for Research Excellence) (Inorganic Chemistry),Debabrata Maiti
174,A Systems Biology understanding of the Adaptively Evolved Global Transcription Regulator Crp mutant in E. coli and evaluating its fitness as a synthetic biology platform,WOS-A (Women Scientist Scheme A),Venkatesh Vishwanath Kareenhalli
175,Role of PAK4 kinase in regulating microtubule dynamics,WOS-A (Women Scientist Scheme A),Dulal Panda
176,Centrifuge Model Studies on Stability Enhancement of Slopes Subjected to Heavy Rainfall,WOS-A (Women Scientist Scheme A),Bhamidipati Venkata Surya viswanadham
177,Preparation and characterization of the multiferroic oxide thin flim for solar cell application,WOS-A (Women Scientist Scheme A),Ashwin Awadhootshastri Tulapurkar
178,Deciphering the physicochemical determinants of formation of stable liposomes of Mycobacterial outer membrane free lipids and their interaction with host membrane lipids for biotechnological applications,WOS-A (Women Scientist Scheme A),Shobhna Kapoor
179,Visualizing Data through Animation and Illustrated Stories,UK,Nina Sabnani
180,Modelling & Control for Cold Rolling Process,-,Sujit Suresh Jogwar
181,Blended MOOCs under ESOS,-,Sridhar Rajamani Iyer
182,NOVIS60 - Non-contact vital sign estimation with 60 GHz radar technology,Indo-French (IFCPAR),Jayanta Mukherjee
183,High performance formation control in the presence of uncertainties and communication constraints,Indo-French (IFCPAR),Sukumar Srikant
184,Abdul Kalam Technology Innovation National Fellowship,Abdul Kalam Technology Innovation National Fellowship,Bhallamudi Ravi
185,DAKSHA,Future Astronomy AO,Varun Bhalerao
186,GROWTH - Global Relay of Observatories Watching Transients Happen,IUSSTF - PIRE (Partnerships for International Research and Education),Varun Bhalerao
187,Nanoelectronics Network for Research and Application (NNetRA),NNETRA,Swaroop Ganguly
188,Virtual Labs Phase-3,NMEICT (National Mission on Education through ICT),Santosh Bonaventure Noronha
189,Young Faculty Research Fellowship (YFRF) of Visvesvaraya PhD Scheme for Electronics and IT,YFRF (Young Faculty Research Fellowship) of Visvesvaraya PhD Scheme for Electronics and IT,Shalabh Gupta
190,Characterization of flow structures in rotating convection with superimposition of vertical and horizontal heat fluxes,REACHOUT (Research Education and Training Outreach),Sridhar Balasubramanian
191,Creating Livelihood in Jawar & Mokhada,-,Sandesh M. Ramu
192,Flow Assurance of Waxy Crudes in Pipelines,-,Jyoti Ravishanker Seth
193,Saturation and permeability of gas hydrates in simulated reservoir conditions,-,Vikram Vishal
194,Development and study of Low Corrosion Rate Completion Fluid Formulation for High Pressure High Temperature Oil and Gas Wells,-,Smrutiranjan Parida
195,In situ strength characterization of deep-water Indian seabed using free fall penetrometers - a scientific framework and field implementation guidelines,-,Santiram Chatterjee
196,Analysis of interfacial dynamics and rheology for selection of low temperature demulsifiers for Heera emulsion,-,Rochish Madhukar Rao Thaokar
197,Parimal and Pramod Chaudhary Center for Learning and Teaching Staff Recruitment,-,Sahana Venkatesha Murthy
198,Physical Unclonable Function (PUF) based Application Specific IC (ASIC) by Technology-Circuit-System Co-Development for Strategic Applications,NNETRA,Udayan Ganguly
199,Strategic University Network to Revolutionize Indian Solar Energy (SUNRISE),-,Dinesh Jugal Kabra
200,Interdisciplinary Program in Industrial Engineering & Operations Research (IE & OR),-,Jayendran Venkateswaran
201,Dispersed particle-laden plumes in linearly stratified environments,Indo-Canadian,Sridhar Balasubramanian
202,Development of smart materials for targeted multifunctional applications on steel structures,-,Smrutiranjan Parida
203,Residual Stresses during Thermo - Mechanical Processing of High Strength Steels : Causes and Mitigation,-,Indradev Samajdar
204,Microstructural Engineering for Improved Hole Expansion Ratio in Dual Phase Steel,-,Indradev Samajdar
205,Skill Development and entrepreneurship training for tribal youth,Unnat Mahrashtra Abhiyan,Milind Ashok Sohoni
206,Industrial Chemistry flow chemistry and catalysis,-,Debabrata Maiti
207,Estimation of surface temperature and model parameters of a circular plate,-,Vivek Natarajan
208,Pilot Clinical Investigation for Alveolar Ridge Augmentation Using 3-D Scaffold Matrix,PACE (Promoting Academic Research Conversion to Enterprise) - AIR (Academic Innovation Research),Jayesh Ramesh Bellare
209,Towards Selective Cell Membrane Platforms for Drug-Membrane Interactions: Biophysical Insights to Activity and Toxicity,-,Shobhna Kapoor
210,Porosity controls on gas storage in unconventional hydrocarbon reservoirs through neutron scattering techniques,DAE Young Scientist Research Award,Vikram Vishal
211,"Coupling of spin, lattice, and electronic degrees of freedom across the metal-insulator transition",-,Dipanshu Bansal
212,Design & Development of Direct Contact Liquid Cooling (DCLC) System,NSM (National Supercomputing Mission),Milind Vishwanath Rane
213,Scaffold-based in situ dendritic cell programming for cancer immunotherapy,Biotechnology Research and Development,Prakriti Tayalia
214,New Therapies to Combat Drug Resistance: Nucleobase Deaminase from Mycobacterium genus as a drug target,National Bioscientists Award,Ruchi Anand
