SNo,Project Name,Scheme Name,PI Details
69,Speech Technologies in Indian Languages,Ministry of Electronics and Information Technology - R and D in IT/Electronics/CCBT -2354,Hema A Murthy
70,Collecting Datasets and Benchmarks for Building Indian Language Technology,Ministry of Electronics and Information Technology - R and D in IT/Electronics/CCBT -2354,Mitesh Khapra
71,Next Generation Wireless Research and Standardization on 5G and Beyond,Ministry of Electronics and Information Technology - R and D in IT/Electronics/CCBT -2354,David Koilpillai
72,Indian Nanoelectronics Users Programme -Idea to Innovation (INUP-i2i),Ministry of Electronics and Information Technology - CAPACITY BUILDING AND SKILL DEVELOPMENT SCHEME (IT) - 4197,Deleep R Nair
73,Institute of Eminence Support,Ministry of Human Resource and Development - Institute of Eminence Research Initiative Projects,Director IITM
74,Education through Information and Communication Technology using Direct-to-Home (DTH) - Phase -III,Ministry of Human Resource and Development - National Mission in Education Through ICT -9287,Arun K Tangirala
75,Endowing Explanation Abilities to Artificial Intelligence (AI) Methodologies for Process Monitoring and Fault Diagnosis,Science And Engineering Research Board - CRGX - Core Research Grant,Rajagopalan Srinivasan
76,Fracturing Process In Rocks with Preexisting Flaws Under Uniaxial and Biaxial Compression,Science And Engineering Research Board - CRGX - Core Research Grant,Vidya Bhushan Maji
77,A Non-Linear Constitutive Model Based Finite Element Method for Magneto-Electro-Elastic-Thermal (MEET) Based Functional Composites.,Science And Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Arockiarajan A
78,"ID-PPP-OTN: Infrastructure and Development of Technologies for Pre-clinical evaluation, Product establishment and Platform integration for Onco-theranostic applications",Science And Engineering Research Board - IRHPA - Intensification of Research in High Priority Areas (IRHPA),Guhan Jayaraman
79,"Design, Analysis, and Development of Advanced Machineries for Coir-based Product Development: (i) Extra-wide and Shuttle-less Power Looms for Manufacturing Geotextiles and (ii) 3D Printer for Shock Absorbing Customised Industrial Packaging",Coir Board - Others,Gnanamoorthy R
80,"Low cost, Rapid Detection for Antibiotic Susceptibility of Bacteria Using Lab-on-a-chip Designs that Exploit Chemotactic Responses",Wellcome Trust - IAEC - India Alliance Early career fellowship,Pushpavanam S
81,Global Water and Climate Adaptation Centre (ABCD-Centre),German Academic Exchange Service (DAAD) - Others,Sannasiraj S A
82,Centre for Excellence for Road Safety (CoERS),Ministry of Road Transport and Highways - Others,Venkatesh Balasubramanian
83,Prioritising the Displacement-Environment Nexus: Refugee and IDP Settlements as Social Ecological Systems,Norwegian Research Council - Others,Sonika Gupta
84,Understanding the Mechanism of MYC Induced Pancreatic Neuroendocrine Tumours and its Clinical Implications,Department of Biotechnology - Rmalingaswami Re-entry Fellowship,Nathiya Muthalagu
85,Integrated miniaturized microfluidic biosensors for molecular diagnostics of zoonotic infections at the point-of-care using padlock probes and rolling circle amplification (ZooPoC-ID),Department of Biotechnology - Rmalingaswami Re-entry Fellowship,Narayanan Srinivasan
86,Study of Chronic Failure Modes in Off hand Rigid Disc Grinding,Saint Gobain India Private Limited - Others,Amitava Ghosh
87,Disability Rights and Climate Resilience in Low and Middle-Income Countries : Insights from India,Social Sciences and Humanities Research Council - Others,Binitha V Thampi
88,Buffer Blocks as Wave Energy Dissipators (BB-Wendis),RWTH Aachen University - Others,Sriram V
89,Physics-based AI-ML models for predicting crop yield at different space-time scales,Indian Space Research Organisation - SPACE SCIENCE PROMOTION -2792,Arun K Tangirala
90,Thermo-mechanical response of polymer matrix composites under high heating rates,Indian Space Research Organisation - SPACE SCIENCE PROMOTION -2792,Shantanu Shashikant Mulay
91,"Operation, Manning and Maintenance of VTS Platform",V O Chidambaranar Port Trust - Others - Industry,Murali K
92,Indigeneous VTS Software System Development,V O Chidambaranar Port Trust - Others - Industry,Murali K
93,Few shot learning for defect detection in SEM images,KLA Corporation - Others - Industry,Rajagopalan A N
94,Modern C++ for Tensorflow Computations,KLA Corporation - Others - Industry,Rupesh Nasre
95,Research Gift for RBCDSAI,Google Asia Pacific Private Limited - Others - Industry,Ravindran B
96,Research Gift for supporting research in reinforcement learning,Google Asia Pacific Private Limited - Others - Industry,Ravindran B
97,Development of 4Nm PMSM Motor and Controller (PICL),PICL (India) Private Limited - Others - Industry,Jhunjhunwala Ashok
98,Operating System Vulnerability Assessment and Open Source Information Collation for Security of Systems and Applications,Ministry of Defence - Others - Industry,Narayanaswamy N S
99,Hydrodynamic and liquid phase mixing studiesin a slurry bubble column,Hindustan Petroleum Corporation Limited - Others - Industry,Renganathan T
100,Characterization of nano-dispersive austenite containing ferritic steels with resistance to hydrogen embrittlement,TATA Steel Limited - Others - Industry,Murugaiyan Amirthalingam
101,Gaseous fuel injection in blast furnaces,TATA Steel Limited - Others - Industry,Varunkumar S
102,CMF For RBCDSAI Industrial Consortium,Wells Fargo International Solutions Private Limited - Others - Industry,Ravindran B
103,CMF For RBCDSAI Industrial Consortium-Mindtree Limited,Mindtree Limited - Others - Industry,Ravindran B
104,CAPACITIVELY AND INDUCTIVELY COUPLED PARAMETER SENSING: CONCEPT EVALUATION,The Weir Group PLC - Others - Industry,Boby George
105,"Novel in-cabin sensing and analytical systems for improving the safety, health and comfort ofdrivers and occupants",FCA Engineering India Private Limited - Others - Industry,Ramkrishna Pasumarthy
106,"Algorithms for Synthetic Vision System (SVS),Enhanced Vision System (EVS) and Automatic Target Recognition (ATR) implementations in a fighter aircraft",Aeronautical Development Agency - Others - Industry,Palaniappan Ramu
107,Development of a theoretical model to predict two-phase flow instabilities in sodium heated once-through integrated steam generator used in Fast Breeder Reactors,Indira Gandhi Centre For Atomic Research - Others - Industry,Sateesh Gedupudi
108,AI4Bharat Initiative,Microsoft Research Lab India Private Limited - Others - Industry,Mitesh Khapra
109,Future Refrigeration India: INDEE+,Norwegian University of Science and Technology (NTNU) - Others - Industry,Advaith S
110,Development of methodology for integration steam of solar concentrating collector field with coal based thermal power plant”,Arka Steam Power LLP - Others - Industry,Srinivas Reddy K
111,CMF For RBCDSAI Industrial Consortium - NMSWorks.,Nmsworks Software Private Limited - Others - Industry,Ravindran B
112,Qualcomm Faculty Award (QFA),"Qualcomm Technologies, Inc. - Others - Industry",Qadeer Ahmad Khan
113,Digital Twin of Sensor Integrated Smart Bearing,Lam Research Corporation - Others - Industry,Sivasrinivasu Devadula
114,CMF For RBCDSAI Industrial Consortium - PayPal,Paypal India Private Limited - Others - Industry,Ravindran B
115,Advanced Gas Turbine Engine Technologies development,GE India Industrial Private Limited - Others - Industry,Muruganandam T M
116,CMF For RBCDSAI Industrial Consortium-Tredence Limited,Tredence Analytics Solutions Private Limited - Others - Industry,Ravindran B
117,Formal Analysis of Timing Interference on Automotive Platforms,Vitesco Technologies India Private Limited - Others - Industry,Chester Rebeiro
118,Multicore Support for Tezos Blockchain,Tezos Foundation - Others - Industry,Kartik Nagar
119,Molecular Weight Reduction of Biopolymer,Apex Laboratories Private Limited - Others - Industry,Baskaran S
120,LCCA/LCA for the comparison of different methods of recycling concrete,Global Cement and Concrete Association - Others - Industry,Ravindra Gettu
121,Grinding and performance evaluation of rotary carbide tools with novel geometries for critical machiningapplications (Phase-I),M S Tools And Mfg Company Private Limited - Others - Industry,Amitava Ghosh
122,Development and Evaluation of an On-site Lubrication Condition Monitoring System (OLCMS) based on a IIOT Enabled Platform,Indian Oil Corporation Limited - Others - Industry,Krishnan Balasubramanian
123,Finite element analysis and design of foundations: Verification and validation studies,K Kumar Raja Projects Private Limited - Others - Industry,Dodagoudar G R
124,"Vascular health assessment for clinical diagnosis, research & early screening",Shri Dharmasthala Manjunatheshwara University - Others - Industry,Jayaraj Joseph
125,"DESIGN AND MONITORING OF WATER HARVESTING, RECHARGE AND DISCHARGE SYSTEMS",Ooze Architects - Others - Industry,Balaji Narasimhan
126,Empowering Marginalised Youth to Acquire New Skills & Knowledge for Better Livelihoods:,Initiative fur Neue Bildung e.V - Others - Industry,Ashwin Mahalingam
127,Federated Machine Learning for Network Elements using Programmable Data Plane Environments,Ciena - Others - Industry,Krishna M Sivalingam
128,Research Gift to Support Data Commons,Google Asia Pacific Private Limited - Others - Industry,Ravindran B
129,Study the impact of Light Absorbing Particles on Snow cover of Western Himalaya,Defence Research Geoinformatics Establishment - Others - Industry,Chandan Sarangi
130,DESIGN AND DEVELOPMENT OF A FULLY AUTOMATED PROTOTYPE OF THE IITM BIOMASS GASIFICATION SYSTEM,Gail India Limited - Others - Industry,Varunkumar S
131,CMF For RBCDSAI Industrial Consortium - Kantar Analytics,"Kantar Analytics Practice, a unit of Firefly Market Research India Private Limited - Others - Industry",Ravindran B
132,Advanced Antilock Brake System for Single Unit Heavy Commercial Road Vehicles,Madras Engineering Industries Private Limited - Others - Industry,Shankar Ram C S
133,Investigation of Water Treatment Technology,"Toray Industries, Inc - Others - Industry",Ligy Philip
134,Development of bio-reinforced sandwich composites for structural applications in automotive,Tata Steel Limited - Others - Industry,Velmurugan R
135,Corrosion and service life assessment of concrete structures with galvanized steel reinforcement,International Zinc Association - Others - Industry,Radhakrishna G Pillai
136,Roller Cam Tappet Design and Verification for CTA 1.16 Fuel Pump,Delphi-TVS Technologies - Others - Industry,Ramkumar P
137,Design of Ku Band Quad Transmit Receive Module (QRTM) System on Chip (SoC) of Active Electronically Scanned Array (AESA) antenna for Seeker Applications.,RCI Hyderabad - Others - Industry,Christopher S
138,Process Demonstration of Continuous Hydrothermal Liquefaction (HTL) for Comversion of Agri and Municipal Solid Wastes to High Value Bio-crude and Bio-char,Valmet Technologies Private Limited - Others - Industry,Vinu R
139,Development of an Assessment focused Learning Management System,Samagra Shiksha - Tamil Nadu - Others - Industry,Nandan Sudarsanam
140,Combined flood and drought mitigation through rapid groundwater recharge in karst aquifers,Project Office District Rural Development Agency - Others - Industry,Venkatraman Srinivasan
141,Design & development of 125 mm APFSDS system,Bharat Electronics Limited - Others - Industry,Rajesh G
142,Design of the 80 mm rocket,Bharat Electronics Limited - Others - Industry,Ramakrishna P A
143,Through process modeling of DS/SC superalloy turbine blades processed using modified Bridgman route - validation with CMSX-4 alloy,Aeronautics Research & Development Board - Others,Gandham Phanikumar
144,Frames and shift invariant systems on non-abelian locally compact groups,Department of Atomic Energy - Others,Radha R
145,Cache-aided Content Delivery Networks,Department of Science & Technology - INSP - Inspire Faculty Award,Kota Srinivas Reddy
146,Development of optimal spray technology using rotary atomizers for improved desalination and brine disposal systems,Department of Science & Technology - Water Technology Initiative Programme,Srikrishna Sahu
147,DST-Materials MAP,Department of Science & Technology - Others,Ranjit Kumar Nanda
148,Studies of the Lifetime Characteristics of multi-layer OLED Devices made using a Close-Space Sublimation (CSS) method for Layer Deposition,Department of Science & Technology - Research and Development -3237,G. Rajeswaran
149,"Effect of SARS-COV-2 proteins on calcium signaling, vesicle dynamics and secretion in neuron and astrocytes",Department of Science & Technology - Research and Development -3237,Amal Kanti
150,Computational Studies on the Mechanism and Properties of Electrode-Electrolyte Interface in Li-ion and Post-Li-ion Batteries,Department of Science & Technology - INSP - Inspire Faculty Award,Sooraj K
151,Investigation of ion defect dynamics in lead-free halide perovskite thin film transistors for development of complementary circuits towards future flexible electronics,Department of Science & Technology - WOSA - Women Scientist,Soumya Dutta
152,"EvolDock Method and Applications, a Protein Docking Model Selector using 3D Deep Convolutional Neural Network Guided by Sequence Coevolution and Conserved Protein Contacts",Department of Science & Technology - WOSA - Women Scientist,Michael Gromiha M
153,Use of Ultrasound Contrast Agents in Detecting Early Stages of Atherosclerosis,Department of Science & Technology - Research and Development -3237,Dhiman Chatterjee
154,Computation driven design of entropy stabilized fluorite structured ceramics and nanocrystalline coatings,Department of Science & Technology - Research and Development -3237,Hari Kumar K C
155,Development of affordable and portable fNIRS funcational Near Infrared Spectroscopy device for Cognitive Studies,"Department of Science & Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Manivannan M
156,High Performance Transition Metal Oxynitrides and Doped Rare Earth based Materials as Electrodes for Supercapacitors,Department of Science & Technology - WOSA - Women Scientist,Tiju Thomas
157,Fund for Improvement of S&T Infrastructure - Project (level -2) for Industrial R&D Support and SSR Activities,Department of Science & Technology - FIST - Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST) Program,Nallayarasu S
158,"Indian Participation in the CMS Experiment at CERN: Maintenance, Operation and Upgradation",Department of Science & Technology - Research and Development -3237,Prafulla Kumar Behera
159,A study to identify prognostic biochemical and cellular markers of placental endothelial dysfunction in gestational Diabetes,Indian Council of Medical Research - Others,Madhulika Dixit
160,Identification and functional studies on the unconventional epigenetic modifications in human malaria parasite: Exploring new drug targets,Indian Council of Medical Research - Research Associate,Arumugam
161,Development of nanocomposites for electrical insulation in harsh environment and for EMI Shielding,Board of Research in Nuclear Sciences - Grants to Other Institutions- 3758,Sarathi R
162,Measurement of Reactivity of Hydroxyl Radicals with Model Biofuel Alternatives,Board of Research in Nuclear Sciences - Others,Rajakumar B
163,Dynamic Behaviour of Very Large Floating Aircushion Supported Structures Under the Action of Waves and Currents.,Naval Research Board - Others,Narendran K
164,Applications of IITM-RANS3D for Ship Slamming and Motion Responses,Naval Research Board - Others,Sriram V
165,Cold Spray Deposition of Driving Band for ERFB Projectile,Armament Research Board - Others,Srinivasa Rao Bakshi
166,Hypervelocity impact simulation,Armament Research Board - Others,Alagappan Ponnalagu
167,Inter-Institutional School of Diagnostic Innovation in Biodesign: A Fellowship Program for Building Next Generation Pool of Diagnostic Innovators and Entrepreneur,Department of Biotechnology - Biotechnology Research and Development -0150,Jayaraj Joseph
168,Designing Macromolecular Assemblies with Ordered and High-Complexity Disordered Proteins,Department of Biotechnology - Biotechnology Research and Development -0150,Athi Narayanan N
169,Development of a comprehensive database for disease causing mutations and tool for predicting the binding affinity of protein carbohydrate complexes: influence of binding affinity on disease causing mutations,Department of Biotechnology - Biotechnology Research and Development -0150,Michael Gromiha M
170,"DRDO-Industry-Academia-Ramanujan Center of Excellence, IIT Madras (DIA-RCoE, IITM)",Defence Research and Development Organisation - Others,DeanIcsr
171,Design and Demonstration of Silicon Photonics Chip for Quantum Number Generation,Defence Research and Development Organisation - Others,Bijoy Krishna Das
172,Magnetostriction based Magneto-Electric (Me) High Temperature 3d-Pressure Sensor for Defence Applications,Defence Research and Development Organisation - Others,Arockiarajan A
173,Aeroacoustic load prediction on hypersonic vehicles,Defence Research and Development Organisation - Centre of Propulsion Technology,Vadlamani Nagabhushana Rao
174,A Compressed Sensing based Framework for Physical Layer Security in Large Dimensional Wireless Communication Systems,Department of Science and Technology - INSP - Inspire Faculty Award,Lakshmi Narasimhan Theagarajan
175,Development of Sub Systems and Components for the UAV Ecosystem,"Department of Science and Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Chakravarthy S R
176,Integrated Platform for Recycling of Textile Dyeing Wastewater using Aqueous Biphasic Systems a Circular Economy Approach CirRe-Dyeing,Department of Science and Technology - Research and Development -3237,Ramesh Gardas
177,Enhancing the accuracy of roboforming through prediction and compensation of elastic behavior using Artificial Intelligence techniques,Department of Science and Technology - Research and Development -3237,Hariharan
178,Regulatory Influence of Renin-Angiotensin Aldosterone System on Renal Expression of renalase,Department of Science and Technology - WOSA - Women Scientist,Nitish R Mahapatra
179,FIST Engineering Sciences Level B C or D - Project,Department of Science and Technology - FIST - Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST) Program,Nagendra Krishnapura
180,Coastal protection strategies for protection of Barrier Island,"Ministry of Earth Sciences, New Delhi - OCEAN SERVICES MODELLING APPLICATION RESOURCES AND TECHNOLOGY (O SMART)-3655",Nilanjan Saha
