SNo,Project Name,Scheme Name,PI Details
50,"Mercury : Constraints on the thermochemical evolution and internal differentiation from meteorited, experiments and geochemical modelling","SERB, new delhi",Prof. Nachiketa Rai
51,Role of integrin and GTPases associated signaling cascades in innate immune cell activation and migration during sepsis,"SERB, new delhi",Prof. Pranita . P. Sarangi
52,DBT M.Sc Programme,"DBT, New Delhi",Prof. Debabrata Sircar
53,The research project Sow Towards intelligent data placement using AI&ML,Huawei Technologies India Private Limited,Prof. Durga Toshniwal
54,"Lie symmetry analysis, simulation and lyapunov stability analysis of the hyperbolic systems","DST, New Delhi",Prof. Ram Jiwari (Co-PI.)
55,Stubble management using decentralized torrefaction systems for biochar - based fertilizers,"DST, New Delhi",Prof. Sonal K. Thengane
56,Course for M.Tech VLSI for Industry Professionals,Programme Implementation Committee,Prof. Anand Bulusu
57,Co-Prepare : collaborative Indo-German project on estimating and predicting natural hazards in the himalayan region,"University grants commission, New Delhi",Prof. Ankit Agarwal
58,"Spring Rejuvenation study in Mizoram : A pilot study for the selected villages of the mengpui Basin""","Under National hydrology project , Government of Mizoram",Prof. Sumit Sen
59,Development of early breast cancer detection system with microwave imaging technique,"DST, New Delhi",Prof. Dharmendra Singh
60,Field versus temperature : on exploration of the switching behavior of gapless atomic switch to realize a color sensor,"SERB,new delhi",Prof. Arnab Datta
61,"Translational and structural Bioinformatics - BIC at Department of Biotechnology, Indian Institute of Technology, Roorkee","DBT, New Delhi",Prof. Pravindra kumar
62,Analysis of stability and protection aspects of integrated solar energy and bioenergy system into a power system,"DST, New Delhi",Prof. Manoj Tripathy
63,Screening Bee stings for antimirobials against bacteremia by streptococcus pneumoniae in children,"DBT, New Delhi",Prof. Srinivas kiran Ambatipudi
64,Fist Programme,"DST, New Delhi",Prof. Arup samanta
65,Experimental and numerical analysis for development of an erosion friendly francis turbine,"CSIR, NEW DELHI",Prof. Bhupendra kumar gandhi
66,Mobile substation and grid storage system (MOBISUB),"DST, New Delhi",Prof. Avik Bhattacharya
67,"Fault-core damage zone architecture in the great boundary fault, rajasthan , India","CSIR, NEW DELHI",Prof. Deepak C. Srivastava
68,Iot based automated real time and effective traffic signal scheduling for smart city,"DST, New Delhi",Prof. Neetesh kumar
69,Fatigue Behaviour of Al-alloy for marine applications,"DRDO, New Delhi",Prof. Bhanu kumar Mishra
70,Behaviour of soil slopes with embedded pipeline subjected to blast loading and liquefaction effects,"DAE, Mumbai",Prof. Kaustav Chatterjee
71,Hardware Implementation of Artificial Intelligence based object and motion detection,"DRDO, Dehradun",Prof. Brajesh Kumar Kaushik
72,various coloring parameters of distance graphs and motzkin's maximal density of sets,"CSIR, NEW DELHI",Prof. Ram Krishan Pandey
73,Theoretical analysis and simulation to capture complex patterns of nonlinear reaction-diffusion models,"DAE, Mumbai",Prof. Ram Jiwari
74,Computational aspects in biothogonal rational function related to infinite gap jacobi matrices logarithmic capacity and their asymptotics,"DAE, Mumbai",Prof. A.Swaminathan
75,Fracture performance of Reinforced concrete members in coupled corrosion and fatigue environment,"SERB, new delhi",Prof. Sonalisa Ray
76,Sliding Mass floor system for seismic response control,"MoES, New Delhi",Prof. Manish Shrikhande
77,Tectonic Evolution of the High-Grade Terrains around the archaean Banded gneissic complex in southern rajasthan and their relations to proterozoic super continent cycles: A petrochronological study,"CSIR, NEW DELHI",Prof. Lopamudra Saha
78,Controllability results of semi-linear impulsive differential equations,"DAE, Mumbai",Prof. Jaydev Dabas
79,Inverse problems associated with certain sunsets in additive number theory,"DAE, Mumbai",Prof. Ram Krishna Pandey
80,Estimates of Paleostress stress states from heterogeneous fault,"MoES, New Delhi",Prof. Deepak C. Srivastava
81,Scale up studies on In-situ Co-hydrothermal synthesis of gaseous fuels and nanometal carbon hybrids from metal contaminated waste water and biomass,"DST, New Delhi",Prof. Siva Mohan Reddy Narapureddy
82,Guidelines for micro-piles for mitigation of landslides or slope stabilization,"NDMA, New Delhi",Prof. Priti Maheshwari
83,Development of solar powered decentralized fertilizer production cum-irrigation units,"DST, New Delhi",Prof. Pratham Arora
84,Elucidating the Mechanism of small RNAs and RNA Chaperone Hfq in Antibiotic Tolerance and Virulence in Acinetobacter baunmannii,"DBT, New Delhi",Prof. Ranjana Pathania
85,"""Modeling Research for BSIM Models","University of california, (Berkeley)",Prof. Avirup Dasgupta
86,5G Communication Lab setup,"Jio Platform Limited, Ahmedabad",Prof. Meenakshi Rawat
87,Scale -up and pre-pilot-scale bioethanol fractional from lignocellulosic biomass by fractional hydrolysis and co-fermentation,"DBT, New Delhi",Prof. Sanjoy ghosh
88,Enhanced lipid production by genetically engineered algal strain : scale-up cultivation and engineering for co-production of value-added isoprenoids,"DBT, New Delhi","Prof. R.p.singh (PI),  Prof. R. Prasad (CO-PI) w.e.f. 30.06.2024"
89,Collision-induced fragmentation and coagulation : dynamics and numerics,"INDO-FRENCH CENTRE FOR APPLIED MATHEMATICS (IFCAM), Deptt. of Mathematics , IISC, Bangalore",Prof. Ankik kumar Giri
90,Experimental and theoretical studies of high ballistics impact on multi layered nanocomposites,"DRDO, New Delhi",Prof. Kaushik Pal
91,Minimizing the side-effects of various vaccines for Ncovid-19 using advanced Data Analytics and Nature Inspired Optimization Techniques,"SERB, new delhi",Prof. Kusum Deep
92,Investigation of topology in magnetic and correlated systems,"SERB, new delhi",Prof. Tulika Maitra
93,Respiratory virus detection using advanced machine-learning enabled plasmon enhanced raman-spectroscopic nano-sensors (REVAMPERS),"DST, New DELHI",Prof. Sachin Kumar Srivastava
94,"Comparative Impact Assessment of COVID 19 on livelihoods, employment challenges and opportunities : a case study of selected indian and south african 'Gig' economy industries","ICSSR, New Delhi",Prof. Pratap Chandra Mohanty
95,Impact Biomechanics of human head,"DRDO-TBRL, Chandigarh",Prof. Shailesh govind Ganpule
96,Submerged vanes for river training and sediment management in streams and their field application,"Ministry of ports, Shipping and waterways",Prof. Zulfequar Ahmad
97,"Development of a comprehensive in vitro and in vivo study design for understanding the pathophysiology of bipolardisorder, associated biomarkers for its probable diagnosis and nutraceutical based therapeutic intervention","SKAN Research Trust, Puducherry",Prof. Partha Roy
98,Testing of connection components,"Fischer Building Materials India Pvt.Ltd., Banglore",Prof. Saurabh Shiradhonkar
99,Hindon Roots sensing HIROS River Rejuvenation through scalable water- and Solute Balance Modelling and informed Farmers Actions,"DST, New DELHI",Prof. Vinnarasi rajendran
100,Unprecedented Bifunctional Strategies for Harnessing CO2 for Enantioselective organic transformations : Application towards the synthesis of Antidepressant Drugs Rolipram and Paroxetine,"SERB, new delhi",Prof. Debasis Banerjee
101,Development of Auto-change Detection system for Gas pipeline ROU surveillance using satellite Images,"GAIL (India) Limited, Noida",Prof. Dharmendra Singh
102,Development of active or passive leg exoskeleton based on series elastic actuation for assistance of elderly humans,"IHF Foundation for cobotics (IHFC), Hauz khas, Delhi",Prof. Felix Orlando Maria Joseph
103,Mitigation of cyber attacks in power system using non-linear control system design,"IHUB NTIHAC Foundation, IIT Kanpur",Prof. Yogesh Vijay Hote
104,Design and synthesis of advanced energetic materials using metal catalyzed cross- coupling,"SERB, new delhi",Prof. Dheeraj Kumar
105,Harnessing dienaminal and dienaminone intermediates for the synthesis of nitrogenous and other frame works,"SERB, new delhi",Prof. Rama Krishna Peddinti
106,Metal-free boron-based catalysts for direct conversion of alkanes of aldehydes and alkanes of aldehydes and alkenes : role of catalyst at the electronic level in product selectivity,"SERB, new delhi",Prof. Puneet Gupta
107,Smart cyber - physical security of electric powertrains in autonomous e-mobility systems,"IHUB NTIHAC Foundation, IIT Kanpur",Prof. Deepak Ronanki
108,Probabilistic analysis of failure criteria of rocks under triaxial state of stress,"SERB, new delhi",Prof. Priti Maheshwari
109,Computational multiscale modeling as a virtual experimental setup for prediction of elastic and inelastic response of unidirectional fibre reinforced polymer composites,"DRDO, New Delhi",Prof. Shubhankar roy chowdhury
110,Epigenetic regulation of Cell fate transition during crown root initiation in rice,"SERB , New Delhi",Prof. Shri Ram Yadav
111,"Studying drug diffusion in multiresponsive, multilayered polymeric materials for applications in oral and ocular delivery","SERB, new delhi",Prof. Prateek kumar Jha
112,Resource recovery and biofuel production through algae cultivation in hydroponic wastewater : pilot-scale studies towards circular bioeconomy,"SERB, new delhi",Prof. Sanjeev kumar Prajapati
113,Experimental and numerical on development of erosion friendly guide vane for hydro-turbines,"SERB, new delhi",Prof. Bhupendra kumar gandhi
114,Nanostructured Materials fo Next-generation Energy conversion and storage Devices,"DST, NEW DELHI",Prof. Yogesh kumar Sharma
115,Static and dynamics behaviour of organic and inorganic nanofiller reinforced hydrogels for biomedical applications,"SERB, new delhi",Prof. Avinash Parashar
116,"Design, Fabrication and characterization of enhanced micro heat pipe for electronic cooling","SERB, new delhi",Prof. Arup Kumar Das
117,Phenotypic characterization and gene mapping of novel early rice flowering mutants during the floral transition and seed formation,"SERB, new delhi",Prof. Shri Ram Yadav
118,Identification of critical soil erosion prone areas and preparation of CAT Plan,"National mission for clean ganga, Ministry of jal Shakti, New Delhi",Prof. Ashish Pandey
119,"fluid inclusions and hydrothermal alteration studies of mineralized zones in paramanahalli gold prospect, chitradurga greenstone belt, karnataka","SERB, new delhi",Prof. Rajagopal krishnamurthi
120,Waste algae to biogas for clean energy and environment techno-environ-economic prospects,"DST, New DELHI",Prof. Sanjeev kumar Prajapati
121,Comprehensive characterization of variably processed sewage sludge in ganga basin to classify its suitability for safe disposal,Central Pollution Control Board,Prof. A.A. Kazmi
122,INSPIRE Faculty Fellowship,"DST, New DELHI",Dr. Yadagiri Dongari
123,Advanced transport modeling and simulation of national highways in india,"IAHE (MORTH)  Indin Academy of Highway engineers, Uttar Pradesh",Prof. Amit Agarwal
124,TARE- SCHEME,"SERB, new delhi",Dr. Manish Gaupta (P.I.)
125,"Development and validation of phone-based App, SwasthGarbh, for improving antenatal care (ameliorating material and fetal health","ICMR, New Delhi",Prof. Deepak Sharma
126,Impact Analysis and mitigation of cyber attacks on Microgrid SCADA,"CPRI, Banglore",Prof. Manoj Tripathy
127,Large -eddy simulation of flow instabilities in hydraulic turbines at off-design operation,"CPRI, Banglore",Prof. Krishna Mohan Singh
128,"Mission Innovation 2.0 - Green Powered Future Mission - Resources Unit for scientific & Technical Analysis, Management, and Coordination","DST, New DELHI","Prof. N.P.Padhy  Prof. E. Rajasekar , Active PI"
129,Development of novel protection schemes for zonal DC Microgrid,"SERB, New delhi",Prof. Premlata Jena
130,Effects of sludge modification on treatment efficiency of algae-based wastewater treatment : batch and continuous sudy and sustainability assessment of the same as an emerging technology,"SERB, New delhi",Prof. Raja Chowdhury
131,Elucidating the genetic architecture of tillering in wheat through CRISPR/CAS based editing of Ideal Plant Architecture gene (IPA1) and TEOSINTE BRANCHED 1 (TB1),"DBT, New Delhi",Prof. Harsh Chauhan
132,Elucidating the molecular mechanisms and biomarkers associated with progression and prognosis of retinoblastoma,"SERB, New delhi",Prof. Maruthi Krishna Mohan Poluri
133,Development of a biomimetic quantum photovoltaic cell,"SERB, New delhi",Prof. Vishvendra Singh Poonia
134,On-Chip implementation and energy -efficient processing of ECG signals for Early detection of cardiovascular Diseases,"SERB, New delhi",Prof. Bishnu Prasad Das
135,Functional gold Nanoclusters and AU(I) complexes for therapeutic applications,"CSIR, NEW DELHI",Prof. Venkatesh V
136,Model experiments to measure the spread of forest fires in a realistic configuration,"SERB, New delhi",Prof. Kirti Bhushan Mishra
137,INSPIRE Faculty Fellowship,"DST, New DELHI",Prof. Anjani kumar Tiwari
138,Cocreating sustainbale Argiwater use in the Hindon Sub basin - A multi Scale Participatory approach,"DST, New DELHI",Prof. Brijesh kumar Yadav
139,Synthesis of MESO/B-Functionalized Porphyrins for solar cell and catalytic applications,"CSIR, NEW DELHI",Prof. M.Sankar
140,India Alliance Fellowship,"DBT/Welcome Trust India Alliance (India Alliance), Hyderabad",Prof. Ranjana Pathania
141,Design and development of a software tool for digitalization and investigation of microstructure of materials using computer vision and machine learning  Teachers Associateship for Research Excellence (TARE) Scheme,"SERB, New Delhi",Prof. Sandeep kumar
142,On certain multiplicity one results,"SERB, New Delhi",Prof. Mahendra kumar Verma
143,Solution of some non-linear evolution equations using homotopy analysis method,"Uttarakhand state council for science & Technology, Dehradun",Prof. Rajan Arora
144,BCL Representation for ISOMETRIES AND INVARIANT SUBSPACES,"SERB, New delhi",Prof. Amit Maji
145,Spatiotemporal control over signalling between artificial micro-compartments with a reversible coatcervate glue,"Indo French Centre for the promotion of Advanced Research (IFCPAR), New Delhi",Prof. B.V.V.S. Pavan Kumar
146,Investigating the mechanisms of L1 retrotransposon activation in oral squamous cell carcinoma (OSCC),"SERB, new Delhi",Prof. Prabhat Kumar Mandal
147,In Vitro screening and efficacy of plant growth promoting rhizobacteria and biocontrol agents in selected vegetable crops to support farmers in uttarakhand state,Uttarakhand state council for science and technology,Prof Naveen Kumar Navani
148,Multiscale Modelling and simulation of layered fibre reinforeced nanocomposite,"DMSRDE, DRDO, Kanpur",Prof. Kaushik Pal
149,Stochastic analysis of the convective Brinkman Forchheimer equations perturbed by levy noise,"SERB, new Delhi",Prof. Manil T. Mohan
150,A Coupled field finite element framework for the dynamic analysis of Inhomogeneously Deforming electroactive polymers,"SERB, new delhi",Prof. Manish Madhav Joglekar
151,Neutron stars slands colliders holography entanglement color superconductivity and ACMS in from String/M-Theoretic Holography at Intermediate Coupling,"SERB, new Delhi",Prof. Aalok Misra
152,Atomistic simulation to study high strain rate behaviour of high entropy alloys,"SERB, new Delhi",Prof. Avinash Parashar
153,Semi-Transport Third generation photovoltaics device for building integration,"Donors (Alumni of IITR) i.e. Mr. Mohinder Nayyar, Ashburn, USA and Dr. Sushil Kumar, Yaphank, NY 11980 and IIT Roorkee",Prof. Soumitra Satapathi
154,Fast and Robust numerical algorithms for 2D unsteady state convection Dominated singularly perturbed parabolic models : Theoretical analysis and computational modeling,"SERB, New Delhi",Prof. Ram Jiwari
155,DST-Storage MAP,"DST, New DELHI",Prof. Yogesh Kumar Sharma
156,Extended forchheimer type modified darcys' law for a combination of a porous and non-porous system for non-newtonian fluids for coating applications,"SERB, new Delhi",Prof. Amit Kumar Dhiman
157,Light weight thermal super-insulting aerogel made by using hybrid cellulose nanomaterials extracted from waste biomaterials for building and advanced applications,"SERB, new Delhi",Prof. Pradip Kumar Maji
158,Multi-Scale Modeling of Hydrogen Embrittlement,"SERB, new Delhi",Prof. Arka Lahiri
159,Tough & Conductive spark plasma sintered SiC composites for wear resistant and electrical discharge machining applications,"SERB, new Delhi",Prof. B. Venkata Manoj Kumar
160,Ramanujan Fellowship,"SERB, new Delhi",Dr. Neetu Tiwari
161,Optimal Control of doubly diffusive flows : theoretical sudies and numerical analysis,"SERB, new Delhi",Prof. Arbaz Khan
162,Self Powered Wavelength Selective NiO based Plasmonic UV-visible Photodetector,"SERB, new Delhi",Prof. Anirban Mitra
163,A study of convergence Properties of the corrected fourier series and its applications,"SERB, new Delhi",Prof. Uaday Singh
164,A semi-analytical Method for hyperbolic conservation Law : application to Riemann problem,"SERB, new Delhi",Prof. Rajan Arora
165,A study of Semilinear differential equations with non-densely defined operators,"SERB, New Delhi",Prof. Dwijendra Narain Pandey
166,Qualitative analysis of differential equations and inclussions with general nonlocal conditiions,"SERB, New Delhi",Prof. Dwijendra Narain Pandey
167,Hybrid - Halide Perovskites for efficient suprercapacitor application,"SERB, New Delhi",Prof. Monojit Bag
168,Role of Cu on the mechanical response of quenched and tempered (Q&T) steel,"SERB, New Delhi",Prof. Anish Karmakar
169,Investiagtion and characterization of ionospheric two dimensional plasma structures over the geomagnetic low-mid latitude transition region usin artificial intelligence and machine learning,"SERB, new Delhi",Prof. Sumanta Sarkhel
170,SERB-POWER Fellowship,"SERB - POWER, New Delhi",Prof. Premlata Jena
171,Development of Transparent Perovskite Devices for building Integrated Photovoltaics (TRADE),"SERB, new Delhi",Prof. Soumitra Satapathi
172,Methods to test and rate AI services for trust with an indian Perspective,"SERB, new Delhi",Prof. Sandeep kumar
173,Enhanced treatment of tannery wastewater by membrane and capacitive deionization (CDI) with waste minimization in haridwar region,"DST, NEW DELHI",Dr.Pinki Sharma (Women Scientist - A)
174,"Techno- Commercial assessment of TRL-6 and above technologies developed in India in academia, research labs and industry","DST, NEW DELHI",Prof. Ramesh Anbanandam
175,Centre for rechargeable energy storage systems for augmenting transportation and electrification (CREATE),"SERB, new Delhi",Prof. Yogesh kumar Sharma
176,To study the prevalence phylogency and virulence of linezolid resistant enterococcus facclum in hospital acquired infections and environment,"ICMR, New Delhi",Prof. Ranjana Pathania (CO-PI)
177,DST-Materials MAP,"DST, NEW DELHI",Prof. Abhishek Tiwari
178,A Comprehensive strategy for enhancing production and alleviating AMR burden on poultry sector via probiotics and alternatives of antibiotics,"DBT, New Delhi",Prof. Naveen Kumar Navani
179,Study of low dimensional magnetic and multiferroic materials from first principles calculations,"SERB, new Delhi",Prof. Tulika Maitra
180,Biomass Gasification through plasma pyrolysis technology for chemicals production,"MNRE, New Delhi",Prof. Vimal Kumar
181,Creep studies on superalloy 718 prepared by additive manufacturing,"SERB, new Delhi",Prof. Ujjwal Prakash
182,Low frequency flexible and conformal capacitive surface-based broadband absorbers with minimum thickness and maximum bandwidth targeting surveillance RADAR Signal avoidance,"SERB, new Delhi",Prof. Akhilesh Mohan
183,Nanoscale Investigations into the interactions of metal/metal oxides/ceramics/cermet’s with GAGs for functional applications,"ESYANTRA PVT. LTD, Chennai",Prof. Maruthi Krishna Mohan Poluri
184,Bioprocess development for the production of poultry feed from agro residues by solid state co-fermentation,"Ministry of Fisheries, Animal Husbandry and Dairying",Prof. Sanjoy Ghosh
185,Multilingual Recognition & Interpretation,Ministry of Electronics & Information Technology,Prof. Partha Pratim Roy
186,Avalanche Hazard zoning and forecasting of snow avalanche using the machine and deep learning approaches,"Indian Institute of Remote Sensing (IIRS), Dehradun",Prof. Ajanta Goswami
187,"Training of technicians for system design, installation, operation, maintenance and repair of renewable energy systems at grass root level-jal Urja Mitra Programme (Small Hydro)","Ministry of New and Renewable Energy, New Delhi",Prof. Arun Kumar
188,Switching based PID control approach for automatic generation control (AGC) of power system with integration of Renewable Energy (RE) Sources,"CPRI, Bangalore",Prof. Yogesh Vijay Hote
189,Evaluation of efficacy of Georoadchem for cement treated base employing FDR technique,M/S KGM Technology (PVT.) Ltd. (New Delhi),Prof. G.D. Ransinchung R.N.
190,Framework for municipal waste management solutions in smart cities of India,"ICSSR, New Delhi",Prof. Ramesh A.
191,Experimental Investigations on precast reinforced concrete planks,"Affordable Sustainable Housing Accelerator - India (Asha - India) , Global Housing Technology Challenge - India (GHTC-India)",Prof. P.C. Ashwin Kumar
192,Development of State-of the art novel algorithm for mapping and monitoring the flooded regions and partially submerged vegetation using multi temporal multi-frequency & multi polarization SAR data,"IIRS, Dehradun",Prof. Dharmendra Singh
193,Development of decision support system for integrated operation of tehri hydro power complex,"THDC India Ltd., Rishikesh",Prof. Kasiviswanathan KS
194,Development of Conversational Sanskrit translator using Neural Machine Translation,"ALL INDIA Council for technical education, New Delhi",Prof. Anil Kumar Gourishetty
195,Development of Indigenous symbiotic beverage to boost gut health and immunity,"Uttarakhand Council for Biotechnology, Department of Agriculture, Govt. of Uttarakhand",Prof. Naveen Kumar Navani
196,Development of Software for Authentication of Audio-Video Footage,"Directorate of Forensic Science Services, Ministry of Home Affairs",Prof. Vinod Pankajakshan
197,Pre cast reinforced concrete Planks in connection with the precast panel technology of M.Suresh Chawla,"Affordable Sustainable Housing Accelerator - India (Asha - India) , Ghobal Housing Technology Challenge - India (GHTC-India)",Prof. Saurabh Shiradhonkar
198,Soft hydrogel lens as non-inasive ocular implant for image assisted in vivo drug delivery in diabetic retinopathy,Chellaram Diabetes Research Centre,Prof. Mayank Goswami
199,Modelling mitochondrial network in pancreatic B-cells for better therapeutic design,"Chellaram Diabetes Research Centre, Pune",Prof. Jitin Singla
200,Development of a prototype territorial early warning system for precipitation induced sediment disasters (I.e. landslides and debris flows) in India,"Indian Institute of Remote Sensing (IIRS), Dehradun",Prof. srikrishnan Siva Subramanian
201,Development of Satellite interferometry-based landslide early warning (Sin LEW) system,"Indian Institute of remote sensing (IIRS), Dehradun",Prof. Rajib Kumar Panigrahi
202,Investigation of mobility and contracts in 2D/few layers materials,Applied Materials Inc. (USA),Prof. Sanjeev Manhas
203,Development of National Scheme for advanced grid-scale energy storage technologies,"New Venture Fund, Washington DC, USA",Prof. Arun Kumar
204,5G Advanced ORAN Massive NIMO Base Station,"IIITB COMET Foundation, Bengaluru",Prof. Ekant Sharma
205,Fatigue design of welded joints in military bridges: experiments and simulations,"DRDO, New Delhi",Prof. Indra Vir Singh
206,Mass Production of High-Performance carbon fibers and nanofibric separators by Electro-spinning techniques for rechargeable batteries and super-capacitors,"National Technical Mission, Ministry of, Udyog Bhawan, New Delhi",Prof. Yogesh kumar Sharma
207,Study of Learning Spaces using mobile-EEG neurofeedback to understand the impact of different built-environment stimuli on cognition,"SERB, New Delhi",Prof. Prabhjot Singh Chani
208,To study the high temperature Creep Rupture Behavior of SU 718 alloy,"DRDO, Bangalore",Prof. Ujjwal Prakash
209,Anomalous Moisture Transport for Hydrological extremes in a Changing Climate AMOTHEC,"DST, New Delhi (Indo - Portugal)",Prof. Ankit Agarwal
210,Design and Analysis of Inflatable Military Decoys & testing of experimental model,"DRDO, Pune",Prof. S. H. Upadhyay
211,Monitoring and modelling of hydro-glaciological processes in glaciated and non-glaciated watershed of north-west Himalaya,"Indian Institute of Remote Sensing, Dehradun",Prof. Sumit Sen
212,Monitoring and modelling of hydro-glaciological processes in glaciated and non-glaciated watershed of north-west Himalaya,"Indian Institute of Remote Sensing, Dehradun",Prof. Ajanta Goswami
213,A Comparative metabolomics approach for the analyses of Scab-disease resistance in apple and development of a metabolite-based non-invasive sensor for early scab-disease diagnosis,"Indian Council of Agricultural Research (ICAR) National Agricultural Science Fund (NASF), New Delhi",Prof. Debabrata Sircar
214,Start-up India and Skill India Initiatives Identification of Innovative Financial Source to Strengthen the Initiatives and formation of Financial Strategies,"ICSSR, New Delhi",Prof. Anil kumar Sharma
215,Participatory action research in select micro watersheds in Uttarakhand,Institute funded sponsored research Project,Prof. S.P. Singh
